family	treatment_iri	figure_iri	description	image_url	md5
Chaetasteridae	<http://treatment.plazi.org/id/0397B63B5273FFDFFF13FA8161C9FEED>	<http://dx.doi.org/10.5281/zenodo.4411482>	FIGURE 2. A, B, Arthraster dixoni Forbes, 1848, small individual, in abactinal (A) and actinal (B) views; Middle Turonian, Dieppe, France; Collection of Nicolas Cottard, Offranville, Normany, France. C–I, Chaetasterina gracilis Hess, 1970. Holotype (NMB Hess A 94), Upper Hauterivian, Neuchâtel, Switzerland, original of Hess (1970: figs 9–14, pl. 3: fig. 5); C, abactinal view; D, actinal view; E–G enlargement of abactinal ossicles; H, I, enlargement of adambulacrals (ad) and inferomarginal (im). J–M, Hyalinothrix sp., Recent, Philippines, AS Gale coll. J, actinal view; K, abactinal view; L, enlargement of ossicles of denuded ambulacral groove; M, enlargement of denuded abactinal surface.	https://zenodo.org/record/4411482/files/figure.png	a067c9eb33cbb40ed3d8f08a0781eec9
Chaetasteridae	<http://treatment.plazi.org/id/03FA8781FFB83958FC24FD36FB94FC68>	<http://dx.doi.org/10.5281/zenodo.6616858>	FIG. 21. — Chaetaster nodosus Perrier, 1875: A, abactinal; B, actinal surfaces of the holotype; MNHN-IE-2014-21. Scale bar: 50 mm	https://zenodo.org/record/6616858/files/figure.png	fab351341461cde29c00739eb435c26d
Massariaceae	<http://treatment.plazi.org/id/872887D7B1225B50EC956497FD6779A9>	<http://dx.doi.org/10.5281/zenodo.7021756>	FIGURE 2. Massaria broussonetiae (holotype, HKAS 102402) a Substrate. b, c Ascomata on substrate. d Vertical section of an ascoma. e Ostiolar neck with green algae-like structures (in white arrows). f Peridium. g Paraphyses. h–mAscospores (l in Congo Red, m in Indian ink). n–q Asci. Scale bars: a = 1 cm, b, c = 500 µm, d = 200 µm, n–q = 50 µm, e, f, h–m = 20 µm, g = 5 µm.	https://zenodo.org/record/7021756/files/figure.png	9f42e30af6869cb3cb1f9ab0bb77a36f
Massariaceae	<http://treatment.plazi.org/id/872887D7B1235B52EC9560B9FE327C21>	<http://dx.doi.org/10.5281/zenodo.7021758>	FIGURE 3. Massaria racemosae (holotype, MFLU 19–2135) a Substrate. b, c Ascomata on substrate. d Vertical section of an ascoma. e Peridium. f Paraphyses. g–l Asci (l in Congo Red). m–t Ascospores (s in Congo Red, t in Indian ink). Scale bars: a = 1 cm, b = 1000 µm, c = 500 µm, d = 200 µm, g–l = 50 µm, e, m–s = 20 µm, f = 5 µm.	https://zenodo.org/record/7021758/files/figure.png	d79025837a0b76544608ed3f05a8d146
Massariaceae	<http://treatment.plazi.org/id/FD8BE88D0A165CDFAC943A8BD25C2783>	<http://dx.doi.org/10.3897/mycokeys.93.89888.figure1>	Figure 1. RAxML tree of Neomassaria and related genera obtained from the concatenated DNA sequence data of LSU, SSU and tef 1 genes. Bootstrap support values for ML equal to or greater than 60 % and BYPP equal to or greater than 0.95 are given above the nodes. The new collections are in red bold and type strains are in bold.	https://binary.pensoft.net/fig/768057	2d9fed1dcdb80168004e2597021958ab
Conidae	<http://treatment.plazi.org/id/03B58177FFA36C73FEE441D4A24FF8D6>	<http://dx.doi.org/10.5281/zenodo.5764746>	FIG. 18. — Conus (Kalloconus) helladicus n. sp. from the Tortonian of Crete (Greece): A, Paratype MNHN.F.A72638: a solid club shaped shell with large relative diameter (form 1) and a distinct colour pattern; B, Holotype AMPG(IV) 2660, Psalidha: a low spired specimen with a relatively narrow diameter (form 2), with a distinct colour pattern; C, Paratype MNHN.F.A72636: a small-sized shell with large relative diameter (form 1); D, Paratype MNHN.F.A72637: a flat spired conid with slightly protruding early spire whorls (form 2). Scale bar: 1 cm.	https://zenodo.org/record/5764746/files/figure.png	cfa92a70ae93935aea9e66f64111c63a
Conidae	<http://treatment.plazi.org/id/03B58177FFA36C7EFCB34275A6A7F937>	<http://dx.doi.org/10.5281/zenodo.5764748>	FIG. 19. — Syntype of Conus (Kalloconus) gulemani Erünal-ErentÖz, 1958, MNHN.FA26722 (Serravallian, Zengen KÖy S, Derebogazi, Karaman Basin, Turkey). Photos taken under natural light by J. Mouchart. Scale bar: 1 cm.	https://zenodo.org/record/5764748/files/figure.png	c4de2012caa08a073825a7d3f0def315
Conidae	<http://treatment.plazi.org/id/03B58177FFA36C7EFCB34275A6A7F937>	<http://dx.doi.org/10.5281/zenodo.5764750>	FIG. 20. — Conus (Kalloconus) gulemani Erünal-ErentÖz, 1958 from the Tortonian of Crete (Greece): A, AMPG(IV) 2672, Filippi: a large specimen showing fade colour pattern under UV light, with patches covered by bryozoan colonies; B, AMPG(IV) 2664, Filippi: a specimen with solid colour pattern of mostly spiral lines; C, AMPG(IV) 2674, Filippi: a small specimen with its last whorl intact, showing this species’ last whorl outline and subsutural flexure;D, AMPG(IV) 2675, Filippi: a specimen with clear colour pattern under normal and UV light, with clear axial non-fluorescent areas; E, MNHN.F.A30841 identified as Conus bitorosus by Caze et al. 2011a, Makrilia. Scale bars: 1 cm.	https://zenodo.org/record/5764750/files/figure.png	f4821ff81d8ebbe2ddd0b5b4107aef5f
Keratoisididae	<http://treatment.plazi.org/id/8032D56EAC40FFE312C5D4B8C43DFA52>	<http://dx.doi.org/10.5281/zenodo.6877199>	FIGURE 12. Adinisis thresheri n. sp., holotype, K3843, A, all collected and preserved colony pieces, B, in situ view of colony, C, view of individual polyp, and sclerites of, D, upper part of polyp body, E, lower part of polyp body and coenenchyme, F, tentacles, G, pharynx.	https://zenodo.org/record/6877199/files/figure.png	3659b0b7f3b3af234699345be13d4f29
Keratoisididae	<http://treatment.plazi.org/id/8032D56EAC42FFFE12C5D4B8C7CCFBCB>	<http://dx.doi.org/10.5281/zenodo.6877203>	FIGURE 13. Adinisis adkinsi n. sp. holotype K3841, A, all collected and preserved colony pieces, B, in situ view of colony, C, view of individual polyp, and sclerites of, D, polyp body, E, coenenchyme, F, tentacles, G, pharynx.	https://zenodo.org/record/6877203/files/figure.png	ccccef23d5b9e9b04b9e69c118902ae1
Keratoisididae	<http://treatment.plazi.org/id/8032D56EAC46FFE212C5D2C5C49EFEAA>	<http://dx.doi.org/10.5281/zenodo.6877197>	FIGURE 11. Onkoisis magnifica, specimen K3830, A, view of preserved polyps, B, piece of external tunic with embedded sclerites, C, light microscope image of tunic and calcareous nodules. Onkoisis solitaria, D, E, individual polyps, with surface and transmitted illumination showing scale sclerites on lower portion of polyp body.	https://zenodo.org/record/6877197/files/figure.png	4ee5d183a67c07f6385df733c8b1cfad
